site,season,as_of,horizon,n_seasons,ess,bandwidth,method,categories_available,observed,p_adverse,p_typical,p_favorable,c_adverse,c_typical,c_favorable,rps,rps_clim,brier,brier_clim,hit,hit_clim,crps_precip_mm,crps_clim_precip_mm,crps_gdd,crps_clim_gdd,crps_kdd_29c,crps_clim_kdd_29c,crps_heat_days,crps_clim_heat_days,crps_water_deficit_mm,crps_clim_water_deficit_mm
Scottsbluff,2018,05-01,30,5,2.397647567342655,1.25,historical_analogs,True,0,0.6469044104670163,0.07547893258928916,0.2776166569436946,0.4,0.2,0.4,0.10087375178011915,0.25999999999999995,0.2074445728250568,0.56,1.0,0.5,91.41975342143597,61.73999999999999,74.03553898453762,54.424440000000025,0.8499773738449763,1.3341773003155661,0.0,0.0,46.34330930756493,34.111856301558554
Scottsbluff,2018,05-01,60,5,2.397647567342655,1.25,historical_analogs,True,1,0.8190556366195165,0.04979514133106825,0.13114922204941526,0.4,0.2,0.4,0.34402612716118414,0.15999999999999998,1.5909415277604129,0.9600000000000002,0.0,0.0,117.75570604850628,79.194,60.45183113770082,56.73744000000019,2.472910288007969,3.627424939311262,1.8929422403614216,1.6399999999999997,63.58980232063461,37.38768306025048
Scottsbluff,2018,05-01,90,5,2.397647567342655,1.25,historical_analogs,True,1,0.8190556366195165,0.04979514133106825,0.13114922204941526,0.4,0.2,0.4,0.34402612716118414,0.15999999999999998,1.5909415277604129,0.9600000000000002,0.0,0.0,147.05355928388468,96.4264,13.550818703247998,27.975240000000028,17.25085660856731,9.66802939715736,8.791792316347738,3.919999999999999,101.45303704085327,57.54097451448971
Scottsbluff,2018,05-01,season,5,2.397647567342655,1.25,historical_analogs,True,2,0.8190556366195165,0.04979514133106825,0.13114922204941526,0.4,0.2,0.4,0.7128769051117689,0.26000000000000006,1.4282333663237188,0.56,0.0,0.5,134.22576013756117,73.71959999999996,170.86387891161291,93.26987999999994,33.95192478542761,16.870020295790713,15.742558812658597,7.28,102.48580755124779,68.52891543736504
Scottsbluff,2018,05-15,30,5,4.00652583619616,1.0,historical_analogs,True,0,0.4779786203517322,0.23771852615582367,0.28430285349244405,0.4,0.2,0.4,0.17666721665691354,0.25999999999999995,0.40984453099152407,0.56,1.0,0.5,68.40481284804952,54.42640000000001,50.38682754239091,53.03844000000001,4.025001932539803,4.7747174755983455,1.4162914299800051,1.6399999999999997,29.29107586919104,23.07527278011387
Scottsbluff,2018,05-15,60,5,4.00652583619616,1.0,historical_analogs,True,0,0.5662589134176215,0.1494382330899344,0.28430285349244405,0.4,0.2,0.4,0.13447972134680425,0.25999999999999995,0.29129122820265,0.56,1.0,0.5,71.36040938039605,49.471199999999975,33.58678777958602,42.080039999999926,4.624810437571795,6.130708161512164,2.8904526876425622,2.88,44.955528726928264,38.29819482295952
Scottsbluff,2018,05-15,90,5,4.00652583619616,1.0,historical_analogs,True,1,0.3871567592457581,0.32854038726179785,0.28430285349244405,0.4,0.2,0.4,0.11535923436681202,0.15999999999999998,0.6815764802721604,0.9600000000000002,0.0,0.0,117.07821587012684,80.9836,48.037119392045,43.10784,15.182550016805447,12.586938677844113,7.717850701618156,5.879999999999999,85.41553636853266,64.60416016558669
Scottsbluff,2018,05-15,season,5,4.00652583619616,1.0,historical_analogs,True,2,0.3871567592457581,0.32854038726179785,0.28430285349244405,0.4,0.2,0.4,0.33105638087436795,0.26000000000000006,0.7700515478108679,0.56,0.0,0.5,91.37301565815292,66.012,135.5233655609983,108.28224,22.385771821270954,16.865420107015908,10.302599044277464,7.28,85.37091821692954,68.52891543736501
Scottsbluff,2018,06-01,30,5,2.471247269031856,1.25,historical_analogs,True,1,0.1933478174525162,0.17243563870501813,0.6342165438424657,0.4,0.2,0.4,0.21980700149856683,0.15999999999999998,1.1244767750827052,0.9600000000000002,0.0,0.0,25.56810040071079,16.3352,24.25828455716441,20.963879999999968,7.576849049626988,3.510554396058491,2.2241876582528826,1.5199999999999996,32.247813331837605,16.648959869962184
Scottsbluff,2018,06-01,60,5,2.471247269031856,1.25,historical_analogs,True,1,0.1933478174525162,0.17243563870501813,0.6342165438424657,0.4,0.2,0.4,0.21980700149856683,0.15999999999999998,1.1244767750827052,0.9600000000000002,0.0,0.0,28.228846151822605,33.67880000000001,45.5689695702884,41.50116000000004,9.341917293241286,9.591713150775904,2.2795516333782118,3.839999999999999,41.98845675197083,41.99132795107444
Scottsbluff,2018,06-01,90,5,2.471247269031856,1.25,historical_analogs,True,2,0.1933478174525162,0.17243563870501813,0.6342165438424657,0.4,0.2,0.4,0.08559045765610118,0.26000000000000006,0.20091496480780988,0.56,1.0,0.5,41.0880605261559,32.8064,31.93453952996034,69.87203999999997,9.143006228920813,15.785450933283407,4.270787575911462,7.880000000000001,57.299050288420425,51.427867986562205
Scottsbluff,2018,06-01,season,5,2.471247269031856,1.25,historical_analogs,True,2,0.1933478174525162,0.17243563870501813,0.6342165438424657,0.4,0.2,0.4,0.08559045765610118,0.26000000000000006,0.20091496480780988,0.56,1.0,0.5,58.48328105442914,33.462799999999994,93.09602318114374,140.56992000000025,10.49988429263665,16.954535800325846,2.515107264533902,7.079999999999998,70.30728263670088,46.59614032430103
